society_slug,bhk,asking_low,asking_median,asking_high,maintenance_monthly,deposit_months,listings_basis,confidence,observed_on,sources,note
assetz-63-degree-east,2BHK,28000,33000,45000,,10,6,medium,2026-06,https://www.99acres.com/assetz-63-degree-east-for-rent-in-kodathi-bangalore-east-404508-rnpffid;https://www.nobroker.in/assetz-63-degree-east-kodathi-village_bangalore-prjt-ff8081816b4aaaf2016b4aaca2ec006c,"Recently occupied 2024; thin 2BHK inventory ~1000 sqft; furnished asks skew to 40-45k."
assetz-63-degree-east,3BHK,38000,45000,55000,,10,30,medium,2026-06,https://www.99acres.com/assetz-63-degree-east-for-rent-in-kodathi-bangalore-east-404508-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-assetz-63-degree-east-bangalore,"3BHK dominant config 1125-1197 sqft; 45k typical asks."
assetz-lumos,3BHK,45000,62000,80000,7000,8,3,medium,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-near-assetz_lumos_bangalore;https://www.99acres.com/assetz-lumos-for-rent-in-mahalakshmi-layout-bangalore-west-471419-rnpffid,"Large-format 3BHK ~1850-2000 sqft; one firm in-society point (65k/1896 sqft) anchors; thin inventory in 143-unit project."
assetz-lumos,4BHK,120000,135000,150000,,3,2,low,2026-06,https://www.99acres.com/4-bhk-flats-for-rent-in-assetz-lumos-yeshwanthpur-bangalore-west-471419-rnpffid;https://www.nestoria.in/assetz-lumos/flat/rent,"Very thin 4BHK inventory (3500-4000 sqft, furnished-luxury skew); indicative only."
assetz-here-and-now,1BHK,30000,35000,42000,,5,7,medium,2026-06,https://www.99acres.com/assetz-here-and-now-for-rent-in-rachenahalli-bangalore-north-495499-rnpffid;https://www.squareyards.com/rent/1-bhk-flat-in-assetz-here-and-now-bangalore,"Compact 1BHK ~682-690 sqft; thin inventory; 42k outlier widens range; deposits ~5 months."
assetz-here-and-now,2BHK,38000,41000,50000,,5,10,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-assetz-here-and-now-rachenahalli-bangalore-north-495499-rnpffid;https://ppc-realestate.com/property/2-bhk-flat-for-rent-in-assetz-here-and-now-thanisandra/,"2BHK ~753-985 sqft; clustered 38-42k; 50k high outlier fully-furnished incl maintenance."
sumadhura-shikharam,2BHK,45000,47000,52000,5350,4,3,medium,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-near-sumadhura_shikharam_bangalore;https://www.99acres.com/sumadhura-shikharam-for-rent-in-whitefield-bangalore-east-64030-rnpffid,"Thin sample of 3-4 live 2BHK listings ~1290 sqft; furnishing mix drives spread."
sumadhura-shikharam,3BHK,56000,65000,70000,,3,4,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-sumadhura-shikharam-bangalore;https://www.commonfloor.com/bangalore-property/sumadhura-shikharam-nu1ld7-p/for-rent/3-bhk,"Thin and noisy; 65k furnished common point; 70k a 3.5BHK outlier; some cross-project bleed."
sumadhura-nandanam,2BHK,45000,54000,60000,5000,5,6,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-sumadhura-nandanam-hoodi-bangalore-east-771742-rnpffid;https://www.nobroker.in/flats-for-rent-near-sumadhura_nandanam_bangalore,"2BHK 966-1232 sqft; deposit 2.5-3L approx 5 months; maintenance often extra ~5k."
sumadhura-nandanam,3BHK,65000,72000,80000,,5,2,low,2026-06,https://www.commonfloor.com/bangalore-property/sumadhura-nandanam-it0msm-p/for-rent/3-bhk;https://www.99acres.com/sumadhura-nandanam-for-rent-in-hoodi-bangalore-east-771742-rnpffid,"Very thin live inventory; one solid 72k incl-maint listing; most portal 3BHK results bleed from nearby projects."
sumadhura-eden-garden,1BHK,31000,31500,32000,2600,5,1,low,2026-06,https://www.nobroker.in/flats-for-rent-in-sumadhura-eden-garden-whitefield-bangalore-prjtl,"Single live listing at 31k; small 660 sqft units; very thin data."
sumadhura-eden-garden,2BHK,38000,45000,50000,4250,4,4,medium,2026-06,https://www.nobroker.in/flats-for-rent-in-sumadhura-eden-garden-whitefield-bangalore-prjtl;https://www.99acres.com/sumadhura-eden-garden-for-rent-in-whitefield-bangalore-east-498983-rnpffid,"NoBroker listings cluster at 45k semi-furnished; portal range 35-50k; wide sqft 766-1350."
sumadhura-eden-garden,3BHK,60000,61000,62000,6000,4,2,low,2026-06,https://www.nobroker.in/flats-for-rent-in-sumadhura-eden-garden-whitefield-bangalore-prjtl,"Only 2 live listings 60-62k for ~1500 sqft; thin sample."
bhartiya-nikoo-homes-1,1BHK,28000,30000,33000,,3,3,low,2026-06,https://www.99acres.com/bhartiya-city-nikoo-homes-1-for-rent-in-thanisandra-bangalore-north-1183512-rnpffid;https://www.getrightproperty.com/residential-listings/for-rent/bengaluru/thanisandra/bhartiya-city-nikoo-homes/nikoo-homes-i/1-bhk-apartment,"Very thin 1BHK inventory; NH1 1BHK units large ~1100 sqft so rents skew high."
bhartiya-nikoo-homes-1,2BHK,38000,41000,48000,7000,4,30,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-bhartiya-city-nikoo-homes-1-thanisandra-bangalore-north-1183512-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-bhartiya-nikoo-homes-bangalore,"99acres has a dedicated NH1 page (~30 2BHK); ~1200-1265 sqft; old sub-25k listings excluded as stale; some phase mixing on other portals."
bhartiya-nikoo-homes-1,3BHK,42000,55000,70000,8000,4,20,medium,2026-06,https://www.99acres.com/bhartiya-city-nikoo-homes-1-for-rent-in-thanisandra-bangalore-north-1183512-rnpffid;https://www.getrightproperty.com/residential-listings/for-rent/bengaluru/thanisandra/bhartiya-city-nikoo-homes,"3BHK spans 1575-2000 sqft; penthouse outliers (~1.05L) excluded; could not fully isolate Phase 1 from Phase 2."
bhartiya-nikoo-homes-2,1BHK,28000,33000,40000,3000,4,3,low,2026-06,https://www.nobroker.in/flats-for-rent-near-bhartiya_city_nikoo_homes_phase_2_bangalore;https://www.99acres.com/1-bhk-flats-for-rent-in-bhartiya-city-nikoo-homes-phase-2-chokkanahalli-bangalore-north-287147-rnpffid,"Includes studio/1RK (680-990 sqft); thin inventory; some serviced-apartment listings inflate the high end."
bhartiya-nikoo-homes-2,2BHK,35000,39000,47000,4500,3,6,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-bhartiya_city_nikoo_homes_phase_2_bangalore;https://www.99acres.com/2-bhk-flats-for-rent-in-bhartiya-city-nikoo-homes-phase-2-chokkanahalli-bangalore-north-287147-rnpffid,"~1185 sqft; cluster 35-47k with furnished units topping range; maintenance ~4-5k."
bhartiya-nikoo-homes-2,3BHK,39000,46000,55000,5000,7,7,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-bhartiya_city_nikoo_homes_phase_2_bangalore;https://www.99acres.com/3-bhk-flats-for-rent-in-bhartiya-city-nikoo-homes-phase-2-chokkanahalli-bangalore-north-287147-rnpffid,"~1265-1700 sqft; core cluster 39-55k; sub-30k and 85k+ outliers excluded; mostly isolated to Phase 2."
century-ethos,3BHK,125000,165000,210000,18000,8,30,high,2026-06,https://www.99acres.com/century-ethos-for-rent-in-hebbal-bangalore-north-40022-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-century-ethos-bangalore,"Ultra-luxury 2850-3485 sqft units; 30+ listings; deposit 6-10 months; maintenance ~5-7 per sqft; furnished units at top of range."
century-ethos,4BHK,200000,220000,250000,26000,8,3,low,2026-06,https://www.99acres.com/century-ethos-for-rent-in-hebbal-bangalore-north-40022-rnpffid;https://cbvalueaddrealty.in/property/4bhk-apartment-for-rent-at-century-ethos/,"Thin inventory (~3 live listings); 4250 sqft at 205k; high end estimated from asking."
century-saras,3BHK,23000,28000,31000,4000,5,3,medium,2026-06,https://www.commonfloor.com/bangalore-property/century-saras-mpmmpv-p/for-rent/apartment-ht/3-bhk;https://www.99acres.com/3-bhk-flats-for-rent-in-century-saras-yelahanka-new-town-bangalore-north-11302-rnpffid,"QA correction: 2BHK row removed (no in-project 2BHK inventory verifiable; all results resolved to nearby comparables); 3BHK live/recent cluster 23-30k, prior 32k median ran ~12-15% high and 43.5k high unsupported."
sterling-ascentia,3BHK,70000,85000,95000,,5,8,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-sterling-ascentia-bellandur-bangalore-east-38880-rnpffid;https://www.oroproptech.com/property/3bhk-rent-in-sterling-ascentia/,"Asking-only; ~8 live 3BHK on 99acres; low end unfurnished ~1700 sqft (70k), high end semi-furnished (85-95k); maintenance not exposed."
sterling-terraces,2BHK,21000,26000,36000,3000,10,8,medium,2026-06,https://www.commonfloor.com/bangalore-property/sterling-terraces-cmibml-p/for-rent/apartment-ht/2-bhk;https://www.squareyards.com/rent/property-for-rent-in-sterling-terraces-bangalore,"Thin society-specific inventory ~1080-1100 sqft; 22k anchor listing plus furnished units higher; aggregator counts include some nearby spillover."
sterling-terraces,3BHK,35000,52000,70000,,5,7,medium,2026-06,https://www.commonfloor.com/bangalore-property/sterling-terraces-cmibml-p/for-rent/apartment-ht/3-bhk;https://www.nestoria.in/sterling-terraces/flat/rent,"1900-2200 sqft; one society-verified listing at 58k 1900 sqft; range spans smaller vs larger 3BHK variants."
sterling-terraces,4BHK,110000,150000,200000,,2,2,low,2026-06,https://www.nestoria.in/sterling-terraces/flat/rent;https://www.commonfloor.com/sterling-terraces-bangalore/povp-cmibml,"4BHK ~3300 sqft config confirmed but rental inventory very thin; aggregator listings may include adjacent-society spillover."
