society_slug,bhk,asking_low,asking_median,asking_high,maintenance_monthly,deposit_months,listings_basis,confidence,observed_on,sources,note
shriram-blue,2BHK,35000,40000,50000,3000,6,6,low,2026-06,https://www.99acres.com/shriram-blue-for-rent-in-seegehalli-bangalore-east-791538-rnpffid;https://www.squareyards.com/rent/2-bhk-flat-in-shriram-blue-bangalore,"Thin 2BHK rental data; figures skew to furnished units; project-level range conflates 2 and 3 BHK."
shriram-blue,3BHK,50000,60000,70000,5000,6,4,medium,2026-06,https://ppc-realestate.com/property/3-bhk-flat-for-rent-in-shriram-blue-k-r-puram-bangalore/;https://www.99acres.com/3-bhk-flats-for-rent-in-shriram-blue-sonnenahalli-bangalore-east-791538-rnpffid,"High end is fully-furnished larger/duplex units; low end 1505 sqft semi; deposit ~4L (~6mo)."
shriram-southern-crest,2BHK,22000,26000,32000,,6,3,low,2026-06,https://www.commonfloor.com/bangalore/property/rent/shriram-southern-crest-fgz71d-p;https://www.99acres.com/shriram-southern-crest-for-rent-in-jp-nagar-bangalore-south-293367-rnpffid,"Thin society-specific 2BHK inventory; ~1000-1405 sqft cluster 22-28k; a 45k outlier likely fully-furnished."
shriram-southern-crest,3BHK,50000,65000,85000,,6,8,medium,2026-06,https://www.commonfloor.com/bangalore-property/shriram-southern-crest-fgz71d-p/for-rent;https://www.99acres.com/3-bhk-flats-for-rent-in-shriram-southern-crest-jp-nagar-bangalore-south-293367-rnpffid,"Semi-furnished 3BHK 50-85k (1220-1960 sqft); a ~1.7L fully-furnished outlier excluded; aggregator counts mix nearby stock."
shriram-summitt,1BHK,11000,16000,27000,,3,7,low,2026-06,https://www.nestoria.in/shriram-summitt/flat/rent;https://www.commonfloor.com/bangalore-property/shriram-summitt-lynv41-p/for-rent,"Thin and noisy; aggregator 1BHK listings show inconsistent areas suggesting some mislabeled/nearby units; indicative only."
shriram-summitt,2BHK,20000,27000,37000,,3,8,medium,2026-06,https://www.99acres.com/shriram-summitt-rent-in-electronics-city-phase-1-bangalore-south-34788-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-shriram-summitt-bangalore,"Aggregator+portal listings; ~45k outliers (likely 2.5BHK or furnished short-stay) excluded from median; deposit ~3mo."
shriram-summitt,3BHK,32000,40000,50000,,3,8,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-shriram-summit-electronics-city-phase-1-bangalore-south-1006439-rnpffid;https://www.squareyards.com/rent/3-bhk-flat-in-shriram-summitt-bangalore,"65k fully-furnished listings excluded as short-stay/premium outliers; high reflects 99acres 50k ask."
prestige-falcon-city,2BHK,45000,55000,70000,6000,2,39,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-prestige-falcon-city-kanakapura-road-bangalore-south-45578-rnpffid;https://www.commonfloor.com/bangalore-property/prestige-falcon-city-9el0ul-p/for-rent/2-bhk,"1000-1230 sqft; deposit ~2L; thinner verified inventory than portal counts imply."
prestige-falcon-city,3BHK,56000,68000,85000,7500,3,120,high,2026-06,https://www.99acres.com/prestige-falcon-city-for-rent-in-kanakapura-road-bangalore-south-45578-rnpffid;https://www.nobroker.in/flats-for-rent-near-prestige_falcon_city_bangalore,"1379-2104 sqft; deposit 2.5-4L; furnishing varies widely; deep inventory."
prestige-falcon-city,4BHK,112000,118000,125000,10000,3,8,low,2026-06,https://www.commonfloor.com/bangalore-property/prestige-falcon-city-9el0ul-p/for-rent;https://www.99acres.com/prestige-falcon-city-for-rent-in-kanakapura-road-bangalore-south-45578-rnpffid,"2500-2726 sqft; very few listings; rent often quoted maintenance-inclusive."
prestige-jindal-city,2BHK,34000,42000,52000,2500,,9,medium,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-near-prestige_jindal_city_bangalore;https://www.99acres.com/2-bhk-flats-for-rent-in-prestige-jindal-city-tumkur-road-bangalore-west-503873-rnpffid,"Deposit varies widely 50k-5L; rents span unfurnished to fully furnished."
prestige-jindal-city,3BHK,45000,55000,60000,5000,3,6,medium,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-near-prestige_jindal_city_bangalore;https://www.99acres.com/prestige-jindal-city-for-rent-in-tumkur-road-bangalore-west-503873-rnpffid,"Thin sample; deposits 1.5L-3.6L roughly 3-6mo."
prestige-song-of-the-south,1BHK,20000,24000,29000,,,3,low,2026-06,https://www.99acres.com/prestige-song-of-the-south-for-rent-in-begur-road-bangalore-south-335349-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-prestige-song-of-the-south-bangalore,"Very thin 1BHK rental inventory; figures are portal-aggregate estimates not confirmed live listings."
prestige-song-of-the-south,2BHK,25000,33000,45000,5500,3,16,medium,2026-06,https://www.commonfloor.com/bangalore-property/prestige-song-of-the-south-490g86-p/for-rent/2-bhk;https://www.99acres.com/2-bhk-flats-for-rent-in-prestige-song-of-the-south-chandrasekarapura-bangalore-south-335349-rnpffid,"Median triangulated from portal snippets; furnishing/floor drives spread."
prestige-song-of-the-south,3BHK,43000,55000,65000,6000,3,24,medium,2026-06,https://www.commonfloor.com/bangalore-property/prestige-song-of-the-south-490g86-p/for-rent/3-bhk;https://www.oroproptech.com/property/3bhk-prestige-song-of-the-south/,"Low end unfurnished/semi; high end fully furnished 1637 sqft; deposit 1-3 months typical."
prestige-tranquility,1BHK,25000,28000,30000,2400,6,3,low,2026-06,https://www.nobroker.in/flats-for-rent-near-prestige_tranquility_bangalore;https://gharpe.com/bangalore/prestige-tranquility/rentals,"Very thin 1BHK inventory; only 1-3 genuine live listings; deposit unusually high relative to rent."
prestige-tranquility,2BHK,32000,36000,40000,3000,5,7,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-prestige_tranquility_bangalore;https://www.99acres.com/prestige-tranquility-for-rent-in-budigere-bangalore-north-136755-rnpffid,"Sub-30k Gharpe outliers likely stale; semi-furnished cluster 32-40k."
prestige-tranquility,3BHK,43000,49000,55000,6000,5,6,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-prestige_tranquility_bangalore;https://www.commonfloor.com/bangalore-property/prestige-tranquility-1rjjij-p/for-rent,"A 65k Gharpe top is a fully-furnished outlier; core asking 43-55k."
prestige-kew-gardens,2BHK,38000,45000,56000,,,5,medium,2026-06,https://www.99acres.com/prestige-kew-gardens-for-rent-in-yemalur-bangalore-east-204657-rnpffid;https://www.commonfloor.com/bangalore-property/prestige-kew-gardens-bwsid7-p/for-rent/2-bhk,"Portal aggregate 38-55.8k; one 70k semi-furnished outlier excluded; ~920-1099 sqft; maint/deposit not disclosed."
prestige-kew-gardens,3BHK,57000,70000,85000,,,7,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-prestige-kew-gardens-bellandur-bangalore-east-204657-rnpffid;https://www.commonfloor.com/bangalore-property/prestige-kew-gardens-bwsid7-p/for-rent/3-bhk,"All three observed points were furnished units; unfurnished likely lower; maint/deposit not disclosed."
prestige-gulmohar,2BHK,25000,30000,45000,3500,10,6,medium,2026-06,https://www.99acres.com/prestige-gulmohar-for-rent-in-horamavu-bangalore-east-101021-rnpffid;https://www.squareyards.com/rent/2-bhk-flat-in-prestige-gulmohar-bangalore,"Thin verified inventory; figures span semi-furnished to furnished and varying sqft so median approximate."
prestige-gulmohar,3BHK,40000,47000,65000,4000,10,5,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-prestige-gulmohar-horamavu-bangalore-east-101021-rnpffid;https://www.squareyards.com/rental-3-bhk-1662-sq-ft-apartment-in-prestige-gulmohar/7737287,"Few live listings; high end (65k+ furnished/penthouse) thins out; maintenance and deposit inferred from area norms."
sobha-forest-view,3BHK,45000,53000,85000,6500,10,3,medium,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-in-sobha-forest-view-banashankari-bangalore-prjtl;https://www.99acres.com/sobha-forest-view-for-rent-in-banashankari-stage-6-bangalore-south-6068-rnpffid,"In-project listings thin; 53k semi-furnished mid vs 85k fully-furnished top; deposit ~10mo (5.5L on 53k)."
sobha-forest-view,4BHK,65000,75000,90000,,10,1,low,2026-06,https://www.squareyards.com/rent/4-bhk-flat-in-sobha-forest-view-bangalore;https://www.99acres.com/sobha-forest-view-for-rent-in-kanakapura-road-bangalore-south-6068-rnpffid,"Very thin 4BHK inventory (1-2 listings ~2240-3240 sqft); range inferred from project band and config size."
sobha-arena,2BHK,44000,47000,52000,,,3,low,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-sobha-arena-talaghattapura-bangalore-south-99191-rnpffid;https://www.squareyards.com/rent/2-bhk-flat-in-sobha-arena-bangalore,"Thin live 2BHK inventory; portals 403-blocked so range inferred from snippet asking quotes."
sobha-arena,3BHK,47000,52000,60000,3800,,7,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-sobha-arena-talaghattapura-bangalore-south-99191-rnpffid;https://www.commonfloor.com/bangalore-property/sobha-arena-ol5lei-p/for-rent/3-bhk,"3BHK asking 47-60k; maintenance ~3800/mo cited; larger 2040 sqft units skew high end."
sobha-indraprastha,3BHK,100000,125000,160000,7000,5,18,high,2026-06,https://www.99acres.com/sobha-indraprastha-for-rent-in-rajajinagar-bangalore-west-14795-rnpffid;https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rajajinagar-bangalore-for-rs-100000/8a9f0383890df0d80189108339e67842/detail,"Premium twin-tower high-rise, rents run high; furnished units push toward the upper band."
sobha-indraprastha,4BHK,150000,175000,180000,16000,5,3,low,2026-06,https://www.squareyards.com/rent/4-bhk-flat-in-sobha-indraprastha-bangalore;https://www.99acres.com/sobha-indraprastha-for-rent-in-rajajinagar-bangalore-west-14795-rnpffid,"Very thin 4BHK inventory (1-3 live); premium high-rise; band derived from few asks."
sobha-hrc-pristine,2BHK,38000,38000,40000,,10,1,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-sobha-hrc-pristine-bangalore;https://www.commonfloor.com/bangalore-property/sobha-hrc-pristine-g42706-p/for-rent,"Single visible 2BHK listing (~952 sqft furnished); 2BHK is a minority config here, inventory very thin."
sobha-hrc-pristine,3BHK,70000,78000,135000,5000,10,10,medium,2026-06,https://www.commonfloor.com/bangalore-property/sobha-hrc-pristine-g42706-p/for-rent/3-bhk;https://homeraaga.com/properties/3-bhk-apartment-sobha-hrc-pristine-jakkur_pr251109207_r/,"Bulk semi-furnished 1690-1932 sqft cluster 70-80k; 135k is a fully-furnished outlier."
sobha-hrc-pristine,4BHK,120000,120000,125000,,,2,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-sobha-hrc-pristine-bangalore;https://www.99acres.com/sobha-hrc-pristine-for-rent-in-jakkur-bangalore-north-550037-rnpffid,"Single clear 4BHK data point (~2300 sqft semi-furnished); only ~2 listings live, range indicative."
sobha-iris,3BHK,68000,72000,85000,7000,10,4,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-sobha-iris-devarabeesana-halli-bangalore-east-17168-rnpffid;https://www.commonfloor.com/bangalore-property/sobha-iris-gz0sg7-p/for-rent/apartment-ht/3-bhk,"Thin live inventory ~3-4 listings; ~1600-1720 sqft; unfurnished clusters 70-75k furnished higher; a 34.5k junk outlier excluded."
brigade-gateway,2BHK,65000,80000,100000,,10,5,medium,2026-06,https://www.99acres.com/brigade-gateway-for-rent-in-rajajinagar-bangalore-west-105313-rnpffid;https://www.commonfloor.com/bangalore-property/brigade-gateway-c2cyoy-p/for-rent/apartment-ht/2-bhk,"Premium integrated enclave (WTC/Orion Mall); 2BHK is a minority config and rents run high."
brigade-gateway,3BHK,80000,100000,130000,,10,6,high,2026-06,https://www.99acres.com/brigade-gateway-for-rent-in-rajajinagar-bangalore-west-105313-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-brigade-gateway-bangalore,"Core config with the deepest inventory; premium enclave so rents run high."
brigade-gateway,4BHK,100000,140000,200000,,10,3,low,2026-06,https://www.commonfloor.com/bangalore-property/brigade-gateway-c2cyoy-p/for-rent/apartment-ht/4-bhk;https://www.squareyards.com/rent/property-for-rent-in-brigade-gateway-bangalore,"Thin live inventory; wide spread by furnishing/size (1888-2360 sqft)."
brigade-exotica,3BHK,75000,90000,120000,12750,10,10,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-brigade-exotica-old-madras-road-bangalore-east-5586-rnpffid;https://www.squareyards.com/rent/3-bhk-flat-in-brigade-exotica-bangalore,"Luxury high-rise; range driven by size 2300-3800 sqft and furnishing; 10mo deposit typical."
brigade-exotica,4BHK,100000,105000,110000,12000,10,4,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-brigade-exotica-bangalore;https://homeraaga.com/properties/4-bhk-apartment-brigade-exotica-old-madras-road_pr251014102_r/,"Thin inventory; mostly semi-furnished 3630 sqft units; figures asking-derived."
brigade-meadows,2BHK,18000,22000,26500,,,8,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-brigade_meadows_bangalore;https://www.99acres.com/brigade-meadows-for-rent-in-kanakapura-bangalore-south-797454-rnpffid,"Asking rents; ~960 sqft typical; deposit spread 2-8mo and maintenance vary by listing so omitted."
brigade-meadows,3BHK,28000,32000,45000,,,17,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-brigade_meadows_bangalore;https://www.commonfloor.com/bangalore-property/brigade-meadows-yboe3b-p/for-rent,"Asking rents; 1100-1630 sqft; high end Wisteria/furnished units; deposit and maintenance vary so omitted."
brigade-millennium,2BHK,24000,29000,45000,2000,10,14,medium,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-near-brigade_millenium_bangalore;https://www.squareyards.com/rent/property-for-rent-in-brigade-millennium-bangalore,"Apartment 2BHK ~1098-1500 sqft; aggregator mixes nearby independent-floors so range trimmed; a 65k furnished outlier excluded."
brigade-millennium,3BHK,37000,45000,65000,3000,10,9,medium,2026-06,https://www.squareyards.com/bangalore-residential-property/brigade-millennium-cassia/1845/project;https://www.nobroker.in/3bhk-flats-for-rent-near-brigade_millenium_bangalore,"Cassia 40k and Mayflower 45k corroborate median; 1430-1991 sqft; deposit ~2.5L."
brigade-millennium,4BHK,65000,80000,90000,,10,2,low,2026-06,https://www.brigadegroup.com/residential/delivered-projects/brigade-millennium-annexe;https://www.squareyards.com/rent/property-for-rent-in-brigade-millennium-bangalore,"4BHK is the Annexe block ~3200 sqft; very thin live rental inventory; range inferred."
brigade-golden-triangle,2BHK,35000,38000,42000,6200,3,5,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-brigade-golden-triangle-katamnallur-bangalore-east-14948-rnpffid;https://www.commonfloor.com/bangalore-property/brigade-golden-triangle-5wqgy2-p/for-rent/apartment-ht/2-bhk,"Thin inventory ~1210 sqft semi-furnished; portals mix in nearby Budigere listings so basis approximate."
brigade-golden-triangle,3BHK,44000,49000,52000,6200,3,2,low,2026-06,https://www.99acres.com/brigade-golden-triangle-for-rent-in-katamnallur-bangalore-east-14948-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-brigade-golden-triangle-bangalore,"Very few in-society listings ~1720 sqft; high anchored by a single 52k semi-furnished listing."
brigade-palm-springs,3BHK,38000,52000,65000,,5,6,medium,2026-06,https://www.squareyards.com/rent/property-for-rent-in-brigade-palmsprings-bangalore;https://www.commonfloor.com/bangalore-property/brigade-palmsprings-bjlwvr-p/for-rent,"Thin genuine in-society inventory; portal aggregates mix nearby JP Nagar units so band triangulated from society-tagged listings; 3BHK-only ~1800-1850 sqft."
godrej-woodsman-estate,2BHK,32000,38000,42000,2000,5,3,low,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-in-godrej_woodsman_estate_hebbal_kempapura_bangalore;https://www.commonfloor.com/bangalore-property/godrej-woodsman-estate-39hysr-p/for-rent/apartment-ht/2-bhk,"Thin in-society 2BHK supply; most portal hits are nearby standalone buildings; furnished ~40k incl maint at 1302 sqft anchors top."
godrej-woodsman-estate,3BHK,45000,65000,70000,10000,5,6,medium,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-in-godrej_woodsman_estate_hebbal_kempapura_bangalore;https://www.99acres.com/3-bhk-flats-for-rent-in-godrej-woodsman-estate-hebbal-kempapura-bangalore-north-28390-rnpffid,"Cluster at 65k for 1683-2000 sqft semi-furnished; 45k low is 1800 sqft plus 6k maint; 70k high fully furnished."
godrej-e-city,1BHK,11000,19000,28000,,4,6,low,2026-06,https://www.nestoria.in/godrej-e-city/flat/rent;https://www.99acres.com/godrej-e-city-for-rent-in-doddathoguru-bangalore-south-10604-rnpffid,"Thin 1BHK inventory; wide spread by furnishing; semi-furnished cluster ~16-19k."
godrej-e-city,2BHK,20000,36000,45000,,4,10,medium,2026-06,https://www.nestoria.in/godrej-e-city/flat/rent;https://www.squareyards.com/rent/property-for-rent-in-godrej-e-city-bangalore,"Semi-furnished core ~35-39k; a 55k fully-furnished outlier excluded from high."
godrej-e-city,3BHK,40000,43000,65000,,4,6,medium,2026-06,https://www.nestoria.in/godrej-e-city/flat/rent;https://www.99acres.com/godrej-e-city-for-rent-in-doddathoguru-bangalore-south-10604-rnpffid,"Semi-furnished cluster 40-46k; 65k fully-furnished top end."
godrej-eternity,2BHK,28500,34000,40000,3000,2,13,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-godrej-eternity-kanakapura-road-bangalore-south-427721-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-godrej-eternity-bangalore,"2BHK ~867-1309 sqft; some quotes incl maintenance; deposit varies 2-3 months."
godrej-eternity,3BHK,42500,45000,62000,4000,3,14,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-godrej-eternity-kanakapura-road-bangalore-south-427721-rnpffid;https://www.commonfloor.com/bangalore-property/godrej-eternity-q7ygcj-p/for-rent,"3BHK ~1194-1900 sqft; high end likely larger/furnished units."
godrej-aqua,2BHK,31000,31500,34000,4300,4,5,medium,2026-06,https://www.99acres.com/godrej-aqua-for-rent-in-hosahalli-bangalore-north-857352-rnpffid;https://www.nobroker.in/2bhk-flats-for-rent-in-godrej-aqua-hosahalli-bangalore-prjtl,"Thin 2BHK inventory; cluster ~31-32k bare/semi-furnished; deposit ~1.25L (3-4mo)."
godrej-aqua,3BHK,35000,45000,68000,4500,4,6,medium,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-godrej-aqua-hosahalli-bangalore-north-857352-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-godrej-aqua-bangalore,"Wide spread by furnishing (semi ~43-45k, furnished to ~68k); low end 35k may be bare/dated."
