slug,name,locality,builder,year_built_from,year_built_to,total_units,description,aliases,median_rent_2bhk,range_2bhk_low,range_2bhk_high,median_rent_3bhk,range_3bhk_low,range_3bhk_high,report_count,last_updated,confidence_label,featured_bhk
sobha-quartz,Sobha Quartz,Bellandur,Sobha,2009,2011,260,"Boutique Sobha community on Outer Ring Road with three mid-rise towers.",Quartz;Sobha Q,52000,44000,62000,75000,65000,90000,17,2026-05-07T13:20:00+05:30,partially verified,2BHK
prestige-ferns-residency,Prestige Ferns Residency,Sarjapur Road,Prestige Group,2008,2010,540,Established Prestige community on Haralur Road with mature trees and lake-side walking paths.,Ferns Residency;Prestige Ferns,52000,44000,62000,76000,65000,90000,24,2026-05-11T07:50:00+05:30,partially verified,2BHK
sobha-silicon-oasis,Sobha Silicon Oasis,Sarjapur Road,Sobha,2010,2012,650,Sobha-built community on the Hosa Road / Sarjapur belt with mid-rise towers and landscaped courtyards.,Silicon Oasis;Sobha Oasis,50000,42000,60000,72000,62000,88000,16,2026-05-04T10:00:00+05:30,partially verified,2BHK
vaswani-reserve,Vaswani Reserve,Bellandur,Vaswani Group,2014,2016,400,"Boutique premium high-rise off Bellandur–Sarjapur, with large 3 / 4 BHK floor plates.",Reserve;Vaswani,68000,58000,82000,98000,85000,125000,9,2026-05-08T17:10:00+05:30,partially verified,3BHK
adarsh-palm-meadows,Adarsh Palm Meadows,Whitefield,Adarsh Developers,2002,2004,300,"Established low-rise villa-style community in the heart of Whitefield with mature landscaping.",Palm Meadows;APM,75000,62000,92000,115000,95000,150000,15,2026-05-06T09:25:00+05:30,verified source,3BHK
godrej-united,Godrej United,Whitefield,Godrej Properties,2017,2019,750,Mid-rise Godrej community near ITPL with a large central clubhouse.,United;Godrej United Whitefield,52000,45000,62000,75000,65000,90000,19,2026-05-12T19:00:00+05:30,partially verified,2BHK
prestige-sunrise-park,Prestige Sunrise Park,Bellandur,Prestige Group,2011,2013,440,Compact Prestige community on Outer Ring Road with two mid-rise towers.,Sunrise Park,55000,47000,66000,80000,68000,95000,14,2026-05-09T15:35:00+05:30,partially verified,2BHK
sobha-habitech,Sobha Habitech,Whitefield,Sobha,2011,2013,330,"Quiet Sobha community in Whitefield with mid-rise apartments and a private clubhouse.",Habitech;Sobha Habitec,58000,50000,68000,85000,72000,100000,11,2026-05-05T12:15:00+05:30,partially verified,2BHK
brigade-caladium,Brigade Caladium,Whitefield,Brigade Group,2009,2011,250,"Mid-rise Brigade community near ITPL with 3 BHK apartments and a sky deck.",Caladium;Brigade Cala,,,,82000,70000,98000,8,2026-05-08T10:00:00+05:30,limited data,3BHK
purva-skywood,Purva Skywood,Sarjapur Road,Puravankara,2014,2016,600,High-rise community along Sarjapur Road with three towers and a podium-level clubhouse.,Skywood;Purva Sky,48000,42000,58000,70000,60000,85000,18,2026-05-10T11:00:00+05:30,partially verified,2BHK
adarsh-park-heights,Adarsh Park Heights,Sarjapur Road,Adarsh Developers,2015,2017,560,Mid-rise Adarsh community in the Gunjur–Sarjapur belt with two phases and a clubhouse.,Park Heights;Adarsh PH,52000,44000,62000,75000,65000,90000,13,2026-05-09T18:00:00+05:30,partially verified,2BHK
brigade-lakefront,Brigade Lakefront,Whitefield,Brigade Group,2009,2011,250,Lake-facing Brigade community off Whitefield Main Road with low-rise blocks and mature landscaping.,Lakefront;Brigade LF,,,,80000,68000,95000,5,2026-05-03T08:00:00+05:30,limited data,3BHK
sobha-city,Sobha City,Thanisandra,Sobha,2014,2017,1500,Large Sobha township off Thanisandra Main Road with multiple high-rise towers and themed gardens.,Sobha City Thanisandra,55000,48000,66000,82000,70000,98000,26,2026-05-11T13:40:00+05:30,partially verified,3BHK
prestige-misty-waters,Prestige Misty Waters,Thanisandra,Prestige Group,2015,2017,500,"Lake-facing Prestige community on Hebbal–Nagavara waters, with three towers.",Misty Waters,58000,50000,68000,85000,72000,100000,20,2026-05-13T07:30:00+05:30,verified source,2BHK
sjr-watermark,SJR Watermark,Sarjapur Road,SJR Group,2014,2016,440,"Stilt-plus-tower community on Haralur Road with a long internal road and large clubhouse.",Watermark;SJR,48000,42000,58000,70000,60000,85000,16,2026-04-30T16:00:00+05:30,partially verified,2BHK
adarsh-palm-retreat-villas,Adarsh Palm Retreat Villas,Bellandur,Adarsh Developers,2007,2010,250,"Villa segment of the Palm Retreat campus on Outer Ring Road, alongside the apartment blocks.",Palm Retreat Villas;APR Villas,,,,150000,120000,200000,8,2026-04-27T15:00:00+05:30,partially verified,3BHK
nitesh-forest-hills,Nitesh Forest Hills,Whitefield,Nitesh Estates,2013,2015,450,Mid-rise community off Whitefield–Hoskote Road with quiet tree-lined internal streets.,Forest Hills;Nitesh,46000,40000,55000,68000,58000,82000,10,2026-04-29T11:20:00+05:30,,2BHK
mantri-lithos,Mantri Lithos,Thanisandra,Mantri Developers,2014,2016,460,,Lithos;Mantri Lit,,,,,,,3,2026-04-22T10:00:00+05:30,limited data,3BHK
salarpuria-greenage,Salarpuria Sattva GreenAge,HSR Layout,Salarpuria Sattva,2014,2016,830,"Premium Salarpuria community off Hosur Road near HSR / Bommanahalli, with large clubhouse facilities.",GreenAge;Sattva GreenAge,52000,45000,62000,76000,65000,92000,18,2026-05-10T09:00:00+05:30,partially verified,3BHK
total-environment-after-the-rain,Total Environment After The Rain,Whitefield,Total Environment,2015,2018,180,,After The Rain;Total Environment ATR,,,,,,,3,2026-04-25T12:00:00+05:30,limited data,3BHK
rohan-iksha,Rohan Iksha,Bellandur,Rohan Builders,2017,2019,360,"Newer Bellandur high-rise community with three towers and a large podium clubhouse.",Iksha;Rohan,58000,50000,68000,85000,72000,100000,13,2026-05-10T18:45:00+05:30,partially verified,2BHK
divyasree-republic-of-whitefield,DivyaSree Republic of Whitefield,Whitefield,DivyaSree Developers,2010,2012,540,"Established DivyaSree community off Whitefield Main Road with internal retail, near the ITPL belt.",Republic of Whitefield;DivyaSree Republic,52000,45000,62000,75000,65000,90000,22,2026-05-12T14:00:00+05:30,partially verified,2BHK
prestige-ozone,Prestige Ozone,Whitefield,Prestige Group,2003,2005,290,"Older Prestige villa-and-apartment community on Whitefield Main Road, established greenery.",Ozone;Prestige Oz,68000,55000,82000,105000,88000,135000,11,2026-05-08T08:20:00+05:30,,3BHK
prestige-silver-oak,Prestige Silver Oak,Whitefield,Prestige Group,2005,2007,156,"Compact Prestige villa community inside Whitefield with mature trees and a private club.",Silver Oak;Prestige Silver,,,,115000,95000,150000,9,2026-04-26T09:00:00+05:30,partially verified,3BHK
brigade-northridge,Brigade Northridge,Thanisandra,Brigade Group,2017,2019,310,,Northridge;Brigade NR,,,,,,,2,2026-04-20T09:00:00+05:30,limited data,2BHK
